               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10034,            0.036621,            0.065704,           1.019e-05,           0.0041293,          5.3828e-06,          7.9515e-07,            0.094163,            0.019243,            0.064477,             0.07037,           0.0032922,           0.0032922
                   1,            0.086077,            0.040837,            0.063699,           0.0065432,             0.44194,           0.0072732,           0.0028987,            0.074759,             0.10116,            0.064181,            0.040277,           0.0065318,           0.0065318
                   2,            0.061561,            0.035065,            0.061757,            0.056206,             0.25987,            0.054764,            0.015817,            0.055051,            0.018812,            0.061643,            0.010089,           0.0096772,           0.0096772
                   3,            0.045062,            0.028494,            0.061042,             0.39583,             0.38935,             0.16181,            0.095776,            0.038584,            0.011791,            0.061452,           0.0095757,           0.0095757,           0.0095757
                   4,            0.037011,            0.024057,             0.05982,             0.20031,             0.54321,             0.22899,             0.14445,             0.03102,           0.0090949,            0.060062,           0.0095757,           0.0095757,           0.0095757
                   5,             0.03274,             0.02156,            0.058611,             0.20054,               0.533,             0.23302,             0.16721,            0.026771,           0.0086877,            0.059369,           0.0094343,           0.0094343,           0.0094343
                   6,            0.029708,            0.020027,            0.057333,             0.23835,             0.64456,             0.31213,             0.22871,            0.023688,            0.007347,            0.056697,           0.0092929,           0.0092929,           0.0092929
                   7,            0.028163,            0.019296,            0.055751,             0.26389,             0.67632,              0.3802,              0.2904,            0.021143,           0.0065566,            0.055158,           0.0091514,           0.0091514,           0.0091514
                   8,            0.027151,            0.018697,            0.053595,             0.27769,             0.66408,             0.37495,             0.24123,             0.02608,           0.0070586,            0.051537,             0.00901,             0.00901,             0.00901
                   9,            0.026265,            0.018558,            0.051751,             0.33646,             0.65258,             0.45405,              0.3643,            0.019559,           0.0060564,            0.049003,           0.0088686,           0.0088686,           0.0088686
                  10,            0.025581,            0.017513,            0.050034,             0.31161,             0.68846,             0.41913,             0.31454,            0.021486,           0.0062402,            0.049852,           0.0087271,           0.0087271,           0.0087271
                  11,            0.025077,             0.01779,            0.048796,             0.36111,             0.63215,             0.46377,              0.3273,            0.022145,           0.0062042,            0.047276,           0.0085857,           0.0085857,           0.0085857
                  12,             0.02422,            0.016911,            0.047837,             0.37626,             0.66571,             0.44371,             0.34683,             0.01945,           0.0061182,            0.046645,           0.0084443,           0.0084443,           0.0084443
                  13,            0.024309,            0.016911,            0.046792,             0.35732,             0.71827,             0.50001,             0.40688,            0.018354,           0.0058664,            0.046524,           0.0083029,           0.0083029,           0.0083029
                  14,            0.023699,            0.016434,            0.045133,             0.45351,             0.71623,             0.55032,             0.44141,            0.017986,           0.0059653,            0.042749,           0.0081614,           0.0081614,           0.0081614
                  15,            0.023517,            0.016475,            0.044072,             0.44505,             0.67891,             0.56807,             0.45154,            0.018675,           0.0059888,            0.044906,             0.00802,             0.00802,             0.00802
                  16,            0.023131,            0.016052,            0.043117,             0.51802,             0.73415,             0.67615,             0.54684,            0.017468,           0.0057687,            0.038657,           0.0078786,           0.0078786,           0.0078786
                  17,            0.023096,            0.016373,            0.041856,             0.47486,             0.66544,             0.62702,             0.49181,            0.017954,           0.0056125,            0.041166,           0.0077371,           0.0077371,           0.0077371
                  18,             0.02259,            0.015782,              0.0407,             0.55912,             0.75751,             0.73844,             0.58677,            0.017906,           0.0058345,            0.034768,           0.0075957,           0.0075957,           0.0075957
                  19,            0.022534,            0.015794,            0.039348,             0.57476,             0.72085,             0.73284,             0.58631,            0.016805,           0.0056795,            0.036993,           0.0074543,           0.0074543,           0.0074543
                  20,            0.022512,            0.015791,            0.038307,             0.58394,             0.77316,             0.75844,             0.61126,            0.017745,           0.0054934,            0.035151,           0.0073129,           0.0073129,           0.0073129
                  21,            0.022008,            0.015773,            0.036895,             0.63867,             0.77448,             0.78544,             0.62599,            0.018242,           0.0058208,            0.032465,           0.0071714,           0.0071714,           0.0071714
                  22,            0.022021,            0.015676,            0.035476,              0.6611,              0.7664,             0.78616,             0.64805,            0.016208,           0.0053149,            0.032587,             0.00703,             0.00703,             0.00703
                  23,            0.021729,            0.015428,            0.035208,             0.63093,              0.7292,             0.76658,             0.63035,            0.016028,           0.0053379,            0.034103,           0.0068886,           0.0068886,           0.0068886
                  24,            0.021572,             0.01569,            0.033756,             0.76528,             0.78685,             0.85321,             0.69828,            0.016087,           0.0054602,            0.029832,           0.0067471,           0.0067471,           0.0067471
                  25,            0.021344,            0.015196,            0.032718,             0.77383,             0.78297,             0.85648,             0.70688,            0.016549,           0.0055283,            0.028463,           0.0066057,           0.0066057,           0.0066057
                  26,            0.021298,            0.014854,            0.032181,             0.76792,             0.80053,             0.86143,             0.69187,            0.017524,           0.0056825,            0.027332,           0.0064643,           0.0064643,           0.0064643
                  27,            0.020975,            0.015092,            0.030828,              0.8644,             0.81179,             0.89522,             0.75842,            0.015001,           0.0053384,             0.02519,           0.0063229,           0.0063229,           0.0063229
                  28,            0.020818,            0.015102,            0.030341,             0.76362,             0.76837,               0.861,             0.72227,              0.0158,           0.0053415,            0.029019,           0.0061814,           0.0061814,           0.0061814
                  29,            0.020922,            0.014904,               0.029,             0.82767,             0.81641,             0.90264,             0.74795,            0.015575,           0.0052908,            0.026361,             0.00604,             0.00604,             0.00604
                  30,            0.020601,            0.014866,            0.028855,             0.85398,             0.84533,             0.92384,             0.78086,            0.015353,           0.0051624,            0.023749,           0.0058986,           0.0058986,           0.0058986
                  31,             0.02051,            0.014504,            0.028041,             0.84393,             0.84108,             0.91785,             0.77067,            0.015212,            0.005297,            0.023465,           0.0057571,           0.0057571,           0.0057571
                  32,             0.02031,            0.014799,            0.027048,             0.87815,             0.85407,              0.9306,             0.78263,            0.014688,           0.0051788,             0.02221,           0.0056157,           0.0056157,           0.0056157
                  33,            0.020208,            0.014366,            0.026512,             0.88506,             0.81505,             0.92093,             0.77103,            0.014904,            0.005107,            0.024244,           0.0054743,           0.0054743,           0.0054743
